Date	Game	Song	Group	Composers	Converters	Binary	Audio	Duration	Tracks	Categories	Notes
|	|Among Us	|Among Us Trap Remix	|bgm	|Leonz	|GlitchGlider	|binaries/Among Us/Among Us Trap Remix by GlitchGlider (1b890c43-da7a-4f1e-9ff2-07402eb1558c).bin	|https://www.youtube.com/watch?v=vQXwwtIMcAI	|76.61570681249981	|11	|	|
|	|Among Us	|Report Body	|majoritems	|Kristi Anderson, CinderSlays	|GlitchGlider	|binaries/Among Us/Report Body by GlitchGlider (45227bf8-06f6-4d69-8204-1ea7616e37eb).bin	|https://youtu.be/yLsz8gIvsmQ	|3.0529687083333332	|12	|	|
|	|Banjo-Kazooie	|Banjos House	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Banjos House by Bismuth (12be419d-b5cd-4348-b57d-1ab9745154ce).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505037862641744/BanjosHouse.mp3	|79.32132000000004	|10	|Exteriors, Happy, Calm	|
|	|Banjo-Kazooie	|Furnace Fun	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Furnace Fun by Bismuth (b080369d-207d-417f-b315-a56522468aa1).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505060545450034/FurnaceFun.mp3	|131.07451999999927	|11	|Interiors, Happy, Minigames	|
|	|Banjo-Kazooie	|Grunty Fight	|bgm	|Grant Kirkhope	|gloomy	|binaries/Banjo-Kazooie/Grunty Fight by gloomy (48bcf788-8ff9-4964-b8c7-79d85dd8a8a4).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1106055293495943168/BK_Grunty_Fight.mp3	|181.33315200000007	|14	|Fights, Gloomy	|
|	|Banjo-Kazooie	|Gruntys Lair	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Gruntys Lair by Bismuth (82eb1048-c81f-4407-8363-70755054477c).bin	|	|118.76436282291732	|9	|	|
|	|Banjo-Kazooie	|Inside Tickers Tower	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Inside Tickers Tower by Bismuth (99723c7d-6dfc-475d-84da-691b163c2ba2).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505113309773854/InsideTickersTower.mp3	|92.30599999999951	|7	|Interiors, Calm	|
|	|Banjo-Kazooie	|Mumbos Hut	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Mumbos Hut by Bismuth (adfc3cb8-e1ab-4a2b-a9c2-ab3e596c19e2).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505130766487693/MumbosHut.mp3	|54.66611999999978	|5	|Lobbies and Shops, Interiors, Calm, Happy	|
|	|Banjo-Kazooie	|Mumbos Mountain	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Mumbos Mountain by Bismuth (1d9db316-45c3-46a0-aecd-01e8d2ad03f9).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505156762775552/MumbosMountain.mp3	|126.31400000000035	|7	|Exteriors, Calm, Happy	|
|	|Banjo-Kazooie	|Pause Menu	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Pause Menu by Bismuth (d70cc34b-3267-42ab-9fc3-8887b84859c3).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505178212442235/PauseMenu.mp3	|9.599999999999998	|4	|Lobbies and Shops, Calm, Happy	|
|	|Banjo-Kazooie	|Spiral Mountain	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Spiral Mountain by Bismuth (a49be9a0-0637-4053-80d0-c5fa610c9855).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505202153525348/SpiralMountain.mp3	|126.54439999999953	|11	|Exteriors, Happy	|
|	|Banjo-Kazooie	|Treasure Trove Cove	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Treasure Trove Cove by Bismuth (885dd7b6-61a3-405b-92f4-be1e59fb1ef2).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505229357781073/TreasureTroveCove.mp3	|102.7130000000007	|9	|Exteriors, Happy, Calm	|
|	|Banjo-Kazooie	|Inside Nipper	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Banjo-Kazooie/Inside Nipper by Bismuth (839693e0-d26f-49d3-96e1-140e1563fddf).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505082611671080/InsideNipper.mp3	|129.0	|5	|Interiors, Calm	|
|	|Banjo-Kazooie	|Church Door Open	|events	|Grant Kirkhope	|gloomy	|binaries/Banjo-Kazooie/Church Door Open by gloomy (14e1a549-8e11-47b6-890d-748184bac4bf).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1113494196263862302/BK_Church_Open.mp3	|5.999999999999999	|5	|Spawning	|
|	|Banjo-Kazooie	|Grunty Door Open	|events	|Grant Kirkhope	|gloomy	|binaries/Banjo-Kazooie/Grunty Door Open by gloomy (2e306ba6-19a2-4431-a933-3b9c6445d571).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1113494358134628463/BK_Grunty_Door_Open.mp3	|5.76	|9	|Spawning	|
|	|Banjo-Kazooie	|Success (Banjo Kazooie)	|events	|Grant Kirkhope	|gloomy	|binaries/Banjo-Kazooie/Success (Banjo Kazooie) by gloomy (8130bca5-2ea1-46cf-be4c-2f7df1df98e4).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1113494882993057842/BK_Success.mp3	|3.9999999999999996	|7	|Collection	|
|	|Banjo-Kazooie	|Jinjo	|majoritems	|Grant Kirkhope	|gloomy	|binaries/Banjo-Kazooie/Jinjo by gloomy (953c3e1f-d158-426d-a2a3-c273c0a033be).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1113493758290440273/BK_Jinjo.mp3	|4.0	|10	|Collection	|
|	|Banjo-Kazooie	|Grunty Tile	|minoritems	|Grant Kirkhope	|gloomy	|binaries/Banjo-Kazooie/Grunty Tile by gloomy (08afbdae-16c5-4a2e-a08c-059bef5c50c6).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1113493398364631100/BK_Grunty_Tile.mp3	|1.411764	|4	|Collection	|
|	|Banjo-Kazooie	|Red Feather Collect	|minoritems	|Grant Kirkhope	|gloomy	|binaries/Banjo-Kazooie/Red Feather Collect by gloomy (8e46120d-ec9a-4524-8607-4507791752ba).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1113492827423391925/BK_Red_Feather_Collect.mp3	|1.846152	|3	|Collection	|
